gene,cluster,avg_log2FC,pct_in,pct_out,pvalue,padj
VIM,T cell,3.1157,62.7,12.9,6.59e-06,1.63e-04
VEGFA,T cell,1.0611,71.8,0.9,5.86e-06,9.40e-04
KRAS,T cell,2.9293,55.2,9.8,4.58e-06,5.46e-04
CD19,T cell,4.2834,55.1,14.4,9.05e-06,1.96e-04
EPCAM,T cell,1.0566,36.6,0.8,9.44e-07,6.83e-04
XRCC1,T cell,1.0634,50.7,12.8,2.33e-07,8.14e-04
IRS1,T cell,1.8429,37.7,10.6,6.29e-06,8.77e-04
AXL,T cell,3.5198,82.2,4.6,1.77e-06,7.51e-04
PDCD1,T cell,3.7853,94.4,6.5,3.72e-06,7.76e-04
FGFR1,T cell,2.061,90.5,12.9,4.29e-06,7.51e-04
SNAI1,T cell,3.5918,36.7,13.6,5.05e-06,8.26e-04
ESR1,T cell,1.9842,88.2,6.1,1.08e-07,9.05e-04
TP53,T cell,1.1378,50.8,14.3,9.51e-06,5.73e-04
SNAI2,T cell,3.1378,59.1,4.8,3.29e-06,6.73e-04
RAD51,B cell,3.5838,81.5,11.9,9.12e-07,4.94e-04
ATR,B cell,1.013,65.7,6.9,8.88e-06,3.51e-04
FCGR3A,B cell,1.2331,39.3,11.5,6.18e-06,1.01e-04
MS4N1,B cell,1.1112,75.6,1.6,8.22e-06,7.06e-04
ATM,B cell,1.101,35.5,14.8,3.74e-06,3.71e-04
PALB2,B cell,3.8074,91.6,14.8,7.53e-06,3.76e-04
DDR2,B cell,1.109,80.5,8.6,4.24e-06,9.06e-04
JAK2,B cell,1.2114,62.0,0.7,4.69e-06,5.63e-05
NOTCH1,Macrophage,1.2396,37.6,9.9,7.46e-06,5.83e-04
HRAS,Macrophage,4.36,54.4,4.6,8.69e-06,2.24e-04
MDM2,Macrophage,4.3639,30.8,14.6,4.32e-07,8.91e-04
CDK4,Macrophage,2.7525,94.5,1.6,5.54e-06,9.69e-04
TP63,Macrophage,2.7355,70.9,10.6,4.55e-06,6.28e-04
CCND1,Macrophage,2.962,88.6,1.2,2.81e-06,9.50e-04
FN1,Macrophage,4.094,59.6,9.5,2.77e-06,1.88e-04
TNF,Macrophage,2.5157,53.0,9.0,7.77e-07,9.74e-04
EPHA2,Macrophage,4.449,75.4,8.3,3.10e-06,8.14e-04
NTRK1,Macrophage,3.3335,40.6,13.7,8.23e-06,9.50e-04
CCNE1,Macrophage,3.4852,69.9,6.6,9.33e-06,8.66e-04
CD68,Macrophage,0.9673,31.7,6.0,8.11e-06,9.87e-04
PDGFRB,Macrophage,1.3565,68.6,6.0,9.70e-06,8.42e-04
TWIST1,NK cell,3.9018,60.5,6.5,2.73e-06,5.64e-05
